Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Genotype]	Characteristics[Organism]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM356504 1	Genomic DNA signals for better quantification of RNA signals	Synechococcus wild type genomic DNA was partially digested with DNaseI as a reference	WT genomic DNA as a reference	wild type	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356504 extract 1	genomic DNA	P-GSE14225-5	GSM356504 LE 1	biotin	P-GSE14225-6	GSM356504	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356504_sample_table.txt norm	GSM356504_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type
GSM356503 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 48 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD48 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356503 extract 1	total RNA	P-GSE14225-5	GSM356503 LE 1	biotin	P-GSE14225-6	GSM356503	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356503_sample_table.txt norm	GSM356503_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356502 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 44 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD44 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356502 extract 1	total RNA	P-GSE14225-5	GSM356502 LE 1	biotin	P-GSE14225-6	GSM356502	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356502_sample_table.txt norm	GSM356502_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356501 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 40 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD40 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356501 extract 1	total RNA	P-GSE14225-5	GSM356501 LE 1	biotin	P-GSE14225-6	GSM356501	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356501_sample_table.txt norm	GSM356501_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356500 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 36 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD36 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356500 extract 1	total RNA	P-GSE14225-5	GSM356500 LE 1	biotin	P-GSE14225-6	GSM356500	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356500_sample_table.txt norm	GSM356500_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356499 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 32 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD32 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356499 extract 1	total RNA	P-GSE14225-5	GSM356499 LE 1	biotin	P-GSE14225-6	GSM356499	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356499.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356499_sample_table.txt norm	GSM356499_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356498 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 28 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD28 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356498 extract 1	total RNA	P-GSE14225-5	GSM356498 LE 1	biotin	P-GSE14225-6	GSM356498	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356498_sample_table.txt norm	GSM356498_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356497 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 24 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD24 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356497 extract 1	total RNA	P-GSE14225-5	GSM356497 LE 1	biotin	P-GSE14225-6	GSM356497	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356497_sample_table.txt norm	GSM356497_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356496 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 20 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD20 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356496 extract 1	total RNA	P-GSE14225-5	GSM356496 LE 1	biotin	P-GSE14225-6	GSM356496	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356496_sample_table.txt norm	GSM356496_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
GSM356495 1	Gene expression data from Synechococcus elongatus PCC 7942	Synechococcus wild type cells collected at hour 16 under continuous dark (DD) after two 12-h:12-h dark/lightcycles from a continuous culture. 200-ug/ml rifampicin was present from hour 0 under DD.	WT at DD16 + rifampicin, single experiment	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)	Synechococcus elongatus PCC 7942	P-GSE14225-2	P-GSE14225-3	P-GSE14225-4	GSM356495 extract 1	total RNA	P-GSE14225-5	GSM356495 LE 1	biotin	P-GSE14225-6	GSM356495	A-GEOD-8012	  	P-GSE14225-7	P-GSE14225-8	GSM356495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.raw.1.zip	P-GSE14225-1	GSM356495_sample_table.txt norm	GSM356495_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14225/E-GEOD-14225.processed.1.zip	wild type containing PkaiBC::luxAB construct with a chloramphenicol-resistance gene at the neutral site I (NSI)
