Source Name	Characteristics [strain]	Characteristics [Organism]	Characteristics [experiment]	Characteristics [reference]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [EXPERIMENT]	Factor Value [REFERENCE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM468465 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 32 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468465 extract 1	total_RNA	P-GSE18902-5	GSM468465 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468465	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468465.gpr	GSM468465.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468465 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468465 extract 2	total_RNA	P-GSE18902-5	GSM468465 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468465	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468465.gpr	GSM468465.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468481 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 2	average of samples 17 to 23	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468481 extract 2	total_RNA	P-GSE18902-5	GSM468481 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468481	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 2	GSM468481.gpr	GSM468481.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468481 1	AMC 408	Synechococcus elongatus PCC 7942	2	  	novobiocin T = 5 minutes	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468481 extract 1	total_RNA	P-GSE18902-5	GSM468481 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468481	A-GEOD-9534	P-GSE18902-8	2	not specified	GSM468481.gpr	GSM468481.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468474 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 68 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468474 extract 1	total_RNA	P-GSE18902-5	GSM468474 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468474	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468474.gpr	GSM468474.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468474 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468474 extract 2	total_RNA	P-GSE18902-5	GSM468474 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468474	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468474.gpr	GSM468474.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468485 1	AMC 408	Synechococcus elongatus PCC 7942	2	  	novobiocin T = 150 minutes	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468485 extract 1	total_RNA	P-GSE18902-5	GSM468485 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468485	A-GEOD-9534	P-GSE18902-8	2	not specified	GSM468485.gpr	GSM468485.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468485 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 2	average of samples 17 to 23	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468485 extract 2	total_RNA	P-GSE18902-5	GSM468485 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468485	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 2	GSM468485.gpr	GSM468485.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468466 1	AMC 408	Synechococcus elongatus PCC 7942	1	  	continuous light T = 36 hours	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468466 extract 1	total_RNA	P-GSE18902-5	GSM468466 LE 1	Cy3	unknown	P-GSE18902-6	P-GSE18902-7	GSM468466	A-GEOD-9534	P-GSE18902-8	1	not specified	GSM468466.gpr	GSM468466.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
GSM468466 2	  	Synechococcus elongatus PCC 7942	  	average of samples in experiment 1	average of samples 1 to 16	no additional information	P-GSE18902-4	P-GSE18902-3	P-GSE18902-2	GSM468466 extract 2	total_RNA	P-GSE18902-5	GSM468466 LE 2	Cy5	unknown	P-GSE18902-6	P-GSE18902-7	GSM468466	A-GEOD-9534	P-GSE18902-8	not specified	average of samples in experiment 1	GSM468466.gpr	GSM468466.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.raw.1.zip	P-GSE18902-1	GSM468466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18902/E-GEOD-18902.processed.1.zip
