Reporter Identifier	VALUE
637798406	-0.039537484
637798407	-0.103172343
637798408	-0.213057651
637798409	-0.460901058
637798410	0.086852818
637798411	-0.042418194
637798412	0.104785418
637798413	0.239478695
637798414	-0.387982041
637798415	0.102750646
637798416	-0.411421301
637798417	-0.354590549
637798418	-0.650196264
637798419	0.036706646
637798420	-0.023470764
637798421	-0.080515421
637798422	-0.195671261
637798423	-0.089139448
637798424	-0.124552888
637798425	-0.100336285
637798426	-0.142379144
637798427	0.204859925
637798428	0.210464884
637798429	-0.255553223
637798430	-0.027205776
637798431	0.136211664
637798432	-0.124012619
637798433	-0.085952165
637798434	0.088084935
637798435	0.02186497
637798436	0.046219476
637798437	-0.002427657
637798438	-0.03747967
637798439	-0.091474646
637798440	0.188659504
637798441	0.135261046
637798442	-0.140736405
637798443	-0.112255366
637798444	0.754870265
637798445	0.248332913
637798446	0.360491019
637798448	-0.379439869
637798449	0.097551552
637798450	-0.051556619
637798451	0.239538444
637798452	0.09210802
637798453	0.192101066
637798454	-0.152090829
637798455	-0.215126383
637798456	-0.534694729
637798457	-0.416385326
637798458	-0.739303488
637798459	-0.364331266
637798460	-0.307556131
637798461	-0.56473111
637798462	-0.221037065
637798463	-0.078213481
637798464	0.214523794
637798465	0.131326849
637798466	0.013123158
637798467	-0.007920046
637798468	-0.316980237
637798469	-0.104145734
637798470	-0.02465103
637798471	-0.401493099
637798472	-0.07429164
637798473	-0.273985463
637798474	-0.018249205
637798475	0.485578305
637798476	0.130872391
637798477	-0.06622226
637798478	0.018672228
637798479	-0.27871181
637798480	-0.36647459
637798481	-0.248289606
637798482	-0.235740492
637798483	-0.245856198
637798484	-0.180725646
637798485	-0.185415197
637798486	-0.011695943
637798487	-0.272557585
637798488	-0.343941351
637798489	-0.029818769
637798490	-0.147277095
637798491	0.204864382
637798492	0.290915225
637798493	0.129412276
637798494	0.186223561
637798495	-0.076315114
637798496	0.043262135
637798497	0.031385675
637798498	-0.291680054
637798499	-0.044837934
637798500	0.005417026
637798501	-0.124606867
637798502	0.306182903
637798503	-0.074285415
637798504	-0.289308524
637798505	-0.032254466
637798506	0.474778967
637798507	-0.502855337
637798508	0.264107609
637798509	-0.068863722
637798510	-0.003018779
637798511	0.029251532
637798512	0.126847402
637798513	0.139319106
637798514	0.0407791
637798515	0.163176352
637798516	0.23709906
637798517	0.029473006
637798518	-0.000919259
637798519	0.067496879
637798520	-0.485938562
637798521	0.034476105
637798522	0.013769138
637798523	-0.004150513
637798524	-0.438366805
637798525	-0.198373858
637798526	-0.245678253
637798527	0.091856004
637798528	-0.199288999
637798529	0.018717669
637798530	0.04901358
637798531	0.169374122
637798532	-0.397498926
637798533	-0.353080802
637798534	0.138339559
637798535	0.095932004
637798536	0.554355817
637798537	-0.086113686
637798538	0.009695764
637798539	-0.215956713
637798540	-0.041545267
637798541	-0.276438533
637798542	-0.119133293
637798543	-0.051302845
637798544	-0.045264055
637798545	-0.237667721
637798546	0.181764137
637798547	-0.410278398
637798548	-0.207599886
637798549	0.086875629
637798550	0.023346831
637798551	0.102872111
637798552	0.050450937
637798553	0.135976842
637798554	0.33716489
637798555	0.052858285
637798556	-0.06682753
637798557	-0.194120797
637798558	-0.072916717
637798559	-0.35515423
637798560	0.014387204
637798561	0.006065494
637798562	-0.507562816
637798563	0.708615795
637798564	-0.562080883
637798565	-0.090551904
637798566	-0.095574777
637798567	-0.503310293
637798568	-0.144908159
637798569	0.005002034
637798570	-0.385479621
637798571	-0.155919539
637798572	-0.161828963
637798573	-0.552235145
637798574	0.093957021
637798575	-0.025902396
637798576	0.025656163
637798577	-0.171410651
