Array Design Name	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Provider	Hideo Iwasaki(hideo-iwasaki@waseda.jp)
Comment[ArrayExpressAccession]	A-GEOD-8012
Comment[SecondaryAccession]	GPL8012
Comment[Description]	Array Manufacturer: Affymetrix, Distribution: non-commercial, Technology: in situ oligonucleotide<br>Comment[7942_ID] = S. elongatus PCC 7942 gene ID  (cf. Complete Genomic Sequence GenBank Accession number NC_007604)<br>Comment[6301_ID] = S. elongatus PCC 6301 gene ID of sequence used to design oligonucleotide probe (cf. Complete Genomic Sequence GenBank Accession number NC_006576)<br>Comment[SYMBOL] = Gene symbol name<br>Comment[ORF] = LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?CMD=search&DB=gene&cmd=search&term= LINK_SUF:[gene name]<br>Comment[DESCRIPTION] = Gene description
Comment[SubmittedName]	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Comment[Organism]	Synechococcus elongatus PCC 7942 Synechococcus elongatus PCC 6301
Printing Protocol	Affymetrix prokaryotic array protocol (see Affymetrix website)
Surface Type	
Substrate Type	
Term Source Name

Reporter Name	Comment[7942_ID]	Comment[6301_ID]	Comment[SYMBOL]	Comment[ORF]	Comment[DESCRIPTION]
syc0001-h_at	Synpcc7942_1541	syc0001_c	isiB	syc0001	flavodoxin
syc0002-h_at	Synpcc7942_1542	syc0002_c	isiA	syc0002	iron-stress chlorophyll-binding protein
syc0003-m_at	Synpcc7942_1544	syc0003_d		syc0003	panthotenate metabolism flavoprotein
syc0004-m_at	Synpcc7942_1545	syc0004_d		syc0004	similar to plasmid stabilization protein StbB homolog
syc0005-m_at	Synpcc7942_1546	syc0005_d		syc0005	similar to C termimus of tlr0652 (putative ribonuclease II)
syc0006-h_at	Synpcc7942_1548	syc0006_c		syc0006	probable amidase
syc0007-m_at	Synpcc7942_1549	syc0007_d	umuD	syc0007	DNA polymerase V  putative SOS mutagenesis protein UmuD
syc0008-m_at	Synpcc7942_1550	syc0008_d	umuC	syc0008	DNA polymerase V
syc0009-m_at	Synpcc7942_1551	syc0009_d		syc0009	hypothetical protein
syc0010-h_at	Synpcc7942_1552	syc0010_c	ilvC	syc0010	ketol-acid reductoisomerase
syc0011-m_at	Synpcc7942_1553	syc0011_d		syc0011	hypothetical protein
syc0012-h_at	Synpcc7942_1554	syc0012_c	clpP	syc0012	ATP-dependent protease ClpP
syc0013-m_at	Synpcc7942_1555	syc0013_d		syc0013	hypothetical protein
