Transcript ID,Strand,1st ORF on transcript,Last ORF on transcript,5' TSS,3' End,Length,Is mRNA?,ORFs per transcript,5' UTR length,3' UTR length,Mean RNA sequencing over transcript,mRNA / cell
1,0,637798646,637798643,235367,232565,2803,1,4,25,0,23.4933999286,0.7841170575
2,0,637798708,637798708,301482,299962,1521,1,1,35,46,2.6679815911,0.0890467059
3,0,637799453,637799453,1046366,1045940,427,1,1,10,75,5.9461358314,0.198458569
4,0,637799832,637799832,1452478,1451255,1224,1,1,102,0,5.2933006536,0.1766695049
5,0,637800254,637800254,1886374,1884286,2089,1,1,24,148,90.2608903782,3.0125526311
6,0,637800765,637800765,2388599,2386163,2437,1,1,23,41,7.0750923266,0.2361386855
7,1,640711017,640711017,121282,121353,70,0,1,0,1,17805.7083333333,0
8,1,640711018,640711018,123940,124014,73,0,1,0,1,142.7866666667,0
9,1,637798557,637798557,152497,154953,2455,1,1,30,36,4.9967439967,0.166771613
10,1,637798726,637798726,316991,318015,1023,1,1,19,7,3.156097561,0.1053380924
11,1,637798986,637798987,558363,560960,2596,1,2,45,195,19.5966127791,0.6540576671
12,1,637799174,637799175,752393,754579,2185,1,2,181,26,17.1636945588,0.5728564497
13,1,637799217,637799217,795123,795885,761,1,1,0,73,73.75491481,2.461648248
14,1,637799483,637799483,1072232,1073241,1008,1,1,46,28,7.1742574257,0.2394484255
15,1,637799663,637799663,1254722,1255252,529,1,1,17,10,8.4293785311,0.2813394192
16,1,637799962,637799962,1589184,1590232,1047,1,1,20,9,2.5519542421,0.0851741705
17,1,637800262,637800263,1893887,1894538,650,1,2,17,35,55.9984662577,1.8690080073
18,1,640711046,637800395,2025281,2025847,565,0,2,0,107,5336.8007054674,0
19,1,637800457,637800457,2081448,2082816,1367,1,1,58,87,6.6917457999,0.2233440899
20,1,637800463,637800463,2085551,2085833,281,1,1,33,4,11.4310954064,0.3815248931
21,1,640711057,640711057,2513976,2514058,81,0,1,0,1,113910.927710843,0
22,1,637800925,637800925,2558210,2558735,524,1,1,46,144,27.1539923954,0.9062932008
23,0,637798906,637798906,488421,487221,1201,1,1,51,154,6.8442964197,0.2284356281
24,0,640711041,640711041,1421319,1421237,83,0,1,0,1,147174.987951807,0
25,1,637798905,637798905,484577,487098,2520,1,1,8,0,2.7390959556,0.091420223
26,1,637799250,637799250,828495,829535,1039,1,1,87,300,251.6599423631,8.399416607
27,0,637798733,637798729,323628,319708,3921,1,4,213,338,393.9487375669,13.1484555601
28,0,637799409,637799409,998454,997897,558,1,1,0,15,2.8261648746,0.0943262402
29,0,637800909,637800909,2541222,2539736,1487,1,1,41,171,12.307330195,0.4107701555
30,1,637799110,637799111,691033,691787,753,1,1,52,61,99.4781456954,3.320188271
31,1,637799379,637799379,967479,968848,1368,1,1,116,0,3.3467153285,0.1117001619
32,0,637798495,640711016,88636,87724,913,0,1,21,1,35701.5848849945,0
33,0,637798619,637798619,216189,215564,626,1,1,1,79,3.9568690096,0.132064686
34,0,637798797,637798796,385275,382249,3027,1,2,150,54,9.6537826231,0.3222052
35,0,637798827,637798826,411978,409949,2030,1,2,32,2,5.8985221675,0.1968694126
36,0,637799080,637799080,664452,664005,448,1,1,6,301,24.625,0.8218854061
37,0,637799205,637799205,785167,784844,324,1,1,0,0,5.0709876543,0.1692495735
38,0,637799366,637799366,956734,955647,1088,1,1,20,0,2.1351102941,0.0712615631
39,0,637799467,637799467,1059150,1057543,1608,1,1,36,0,3.6685323383,0.1224411448
40,0,637799575,637799575,1174990,1173872,1119,1,1,100,41,6.7033065237,0.2237299413
41,0,637799591,637799591,1199239,1198844,396,1,1,0,0,107.1338383838,3.5757051076
42,0,637799647,637799647,1241517,1240539,979,1,1,106,18,12.1756894791,0.4063765073
43,0,637799656,637799656,1249346,1248567,780,1,1,19,26,4.7205128205,0.1575521054
44,0,637799714,637799713,1306242,1305460,783,1,2,10,0,3.098339719,0.1034103634
45,0,637800021,637800020,1655943,1652273,3671,1,1,109,459,15.469081994,0.5162969638
46,0,637800362,637800362,1998193,1995553,2641,1,1,0,43,12.6951912154,0.423715427
47,0,637800511,637800511,2143346,2142268,1079,1,1,36,11,5.8878591288,0.1965135225
48,0,637800560,637800560,2197176,2196264,913,1,1,48,10,4.3012048193,0.1435572576
49,1,637798601,637798601,195581,196286,704,1,1,49,228,9.3569405099,0.3122977807
50,1,637798744,637798747,333485,336207,2721,1,4,32,2,6.6838046272,0.2230790449
51,1,637798828,637798828,412118,413350,1231,1,1,29,61,15.7331711273,0.525111218
52,1,637798926,637798926,504368,505571,1202,1,1,25,15,3.6993355482,0.1234692345
53,1,637799115,637799117,694052,696774,2721,1,3,20,204,10.7756151304,0.3596475459
54,1,637799229,637799231,806812,809892,3079,1,2,81,534,15.5959104187,0.5205299967
55,1,637799462,637799462,1054690,1055301,610,1,1,32,22,6.0098039216,0.2005835589
56,1,637799823,637799823,1436135,1437889,1753,1,1,19,197,4.6290598291,0.1544997652
57,1,637800077,637800077,1707859,1708435,575,1,1,22,21,6.993067591,0.2334010232
58,1,637800128,637800128,1756865,1757137,271,1,1,33,0,3.6043956044,0.1203005135
59,1,637800408,637800413,2035711,2040202,4490,1,4,19,159,4.5013357079,0.1502368376
60,1,637800491,637800492,2118041,2121371,3329,1,2,21,0,8.3146202342,0.2775092397
61,1,637800854,637800855,2479032,2481029,1996,1,2,19,91,7.2217217217,0.2410325965
62,1,637801063,637801063,2691605,2692583,977,1,1,21,427,23.2604698672,0.7763427705
63,0,637798993,637798993,567475,566121,1355,1,1,87,47,65.6863468635,2.1923512634
64,0,637799305,637799298,896561,888338,8224,1,8,108,102,101.6082198444,3.3912817457
65,0,637799499,637799499,1085562,1085118,445,1,1,0,139,5.2764044944,0.1761055777
66,0,637799526,637799526,1118831,1117103,1729,1,1,280,0,9.2648930017,0.3092255978
67,0,637800013,637800013,1644454,1643974,481,1,1,18,37,3.7255717256,0.1243448947
68,0,637800024,637800022,1659057,1655952,3106,1,3,35,29,15.7691564713,0.5263122667
69,0,637800571,637800565,2206836,2201557,5280,1,4,32,141,43.3498106061,1.4468457541
70,1,637798450,637798450,41470,43477,2006,1,1,25,0,3.2614541833,0.108854481
71,1,637799157,637799158,735625,738155,2529,1,2,26,0,4.4863690241,0.1497373087
72,1,637799322,637799323,915498,916946,1447,1,2,90,199,254.4451345756,8.4923753409
73,1,637799357,637799357,944547,945402,854,1,1,71,158,11.4964953271,0.3837076846
74,1,637800129,637800129,1757155,1758315,1159,1,1,0,0,2.9595176572,0.0987770303
75,1,637800806,637800809,2424483,2428739,4255,1,4,39,0,12.2607470049,0.4092153919
76,0,637798461,637798460,57927,56423,1505,1,2,21,0,9.3169435216,0.310962839
77,0,637799089,637799089,672657,671621,1037,1,1,195,461,56.3481195757,1.8806780565
78,0,637799289,637799289,874239,873108,1132,1,1,43,0,3.8639575972,0.1289636694
79,1,637798441,637798441,35341,36126,784,1,1,0,0,2.2010178117,0.0734612962
80,1,637799172,637799173,751095,752381,1285,1,2,182,0,9.1266511267,0.3046116291
81,1,637799700,637799700,1295129,1295801,671,1,1,0,376,29.4353640416,0.9824363909
82,1,637800198,637800198,1824612,1825011,398,1,1,36,76,91.3775,3.0498206575
83,1,637800328,637800328,1959524,1960816,1291,1,1,0,0,2.4106728538,0.0804587548
84,1,637800603,637800604,2241057,2243337,2279,1,2,63,686,69.4870670758,2.3192043185
85,1,637800797,637800797,2416354,2417930,1575,1,1,33,350,23.0856055802,0.77050649
86,0,637798420,637798420,14280,13577,704,1,1,32,0,2.2542613636,0.075238356
87,0,637798498,637798497,90953,89543,1411,1,2,23,172,9.0588235294,0.3023478114
88,0,637798525,637798525,119323,118730,594,1,1,31,5,2.7441077441,0.0915874967
89,0,637798549,637798546,146189,142107,4083,1,4,206,126,19.8949301984,0.6640143263
90,0,637798584,637798583,176513,174709,1805,1,2,42,0,5.9789473684,0.1995536887
91,0,637798615,637798615,212451,211811,641,1,1,1,13,2.9984399376,0.1000761026
92,0,637798675,637798674,265943,264465,1479,1,2,86,17,3.8539553753,0.1286298347
93,0,637798688,637798686,279505,275749,3757,1,3,83,19,16.4389140271,0.5486661333
94,0,637798794,637798794,382021,380830,1192,1,1,30,40,2.7130872483,0.0905521549
95,0,637798810,637798808,398737,396679,2059,1,3,228,193,14.1058766391,0.4707985442
96,0,637798819,637798817,403768,402178,1591,1,3,0,13,17.6888749214,0.5903848993
97,0,637798821,637798821,406164,404889,1276,1,1,19,279,27.5415360502,0.9192278798
98,0,640711022,640711022,424984,424910,75,0,1,0,1,5736.4533333333,0
99,0,637798894,637798894,474207,473353,855,1,1,35,157,18.049122807,0.6024085535
100,0,637798896,637798896,477065,475660,1406,1,1,21,5,11.1778093883,0.3730712044
101,0,637798908,637798907,489505,488464,1042,1,2,22,6,3.9069097889,0.1303972442
102,0,637798918,637798917,497597,495929,1669,1,2,18,1,14.0161773517,0.4678047355
103,0,637798924,637798918,504419,496472,7948,1,6,86,130,11.4094111726,0.3808011587
104,0,637799041,637799041,622355,622078,278,1,1,15,56,4.3129496403,0.1439492534
105,0,637799071,637799071,655359,653854,1506,1,1,84,0,5.3791500664,0.1795348197
106,0,637799189,637799188,766197,764961,1237,1,2,0,23,9.6184316896,0.3210253253
107,0,637799245,637799244,823267,821754,1514,1,2,26,3,9.1321003963,0.3047935042
108,0,637799358,637799358,945655,945125,531,1,1,16,164,13.9284369115,0.4648763056
109,0,637799359,637799359,947795,945879,1917,1,1,22,185,16.2540427752,0.5424958599
110,0,637799385,637799385,973966,973320,647,1,1,20,39,4.0355486862,0.1346907034
111,0,637799388,637799388,976218,975233,986,1,1,23,135,7.476673428,0.2495418792
112,0,637799408,637799406,997865,996129,1737,1,3,43,151,19.3056994819,0.6443481282
113,0,637799437,637799437,1032471,1031697,775,1,1,13,0,4.0516129032,0.1352268636
114,0,637799494,637799493,1082954,1080988,1967,1,2,103,11,3.7671581088,0.1257328841
115,0,637799516,637799516,1108337,1107462,876,1,1,63,15,13.1198630137,0.4378892969
116,0,637799520,637799520,1112569,1111873,697,1,1,34,45,3.4505021521,0.1151641568
117,0,637799547,637799547,1140640,1138388,2253,1,1,17,76,9.7598757213,0.3257461693
118,0,637799640,637799635,1236170,1234287,1884,1,6,80,51,10.601910828,0.3538499812
119,0,637799693,637799691,1287890,1284168,3723,1,3,55,55,5.6038141284,0.1870332203
120,0,637799746,637799746,1345999,1344451,1549,1,1,16,132,12.4422207876,0.4152722715
121,0,637799870,637799870,1492297,1491575,723,1,1,7,221,33.5380359613,1.1193674032
122,0,637799890,637799890,1511569,1510962,608,1,1,41,0,8.5213815789,0.2844101181
123,0,637799892,637799891,1512599,1511592,1008,1,2,21,0,27.8095238095,0.9281722546
124,0,637799930,637799927,1548124,1545278,2847,1,4,19,104,9.8717948718,0.3294815893
125,0,637800015,637800015,1648244,1646774,1471,1,1,33,49,3.9374575119,0.1314168067
126,0,637800085,637800085,1716665,1716091,575,1,1,27,98,9.5182608696,0.3176820183
127,0,637800104,637800104,1735893,1735117,777,1,1,34,38,8.74002574,0.2917075981
128,0,637800116,637800113,1747153,1744235,2919,1,2,0,46,17.1250428229,0.571566407
129,0,637800134,637800134,1764576,1763620,957,1,1,124,92,11.1118077325,0.3708683293
130,0,637800172,637800170,1804354,1802674,1681,1,3,135,12,11.5788221297,0.3864554285
131,0,637800186,637800186,1818980,1817563,1418,1,1,18,215,27.2750352609,0.9103331342
132,0,637800190,637800187,1820856,1818720,2137,1,4,78,270,51.1623771642,1.7075984214
133,0,637800228,637800226,1854753,1853308,1446,1,3,24,0,15.9405255878,0.5320318923
134,0,637800232,637800232,1863111,1861754,1358,1,1,45,77,7.1222385862,0.2377122417
135,0,637800285,637800284,1911590,1910190,1401,1,2,32,35,4.2997858672,0.1435098986
136,0,637800323,637800322,1955320,1953063,2258,1,2,96,11,39.932683791,1.3327955343
137,0,637800437,637800437,2063443,2062388,1056,1,1,9,0,2.4327651515,0.0811961086
138,0,637800496,637800496,2129310,2127819,1492,1,1,7,42,5.5569705094,0.185469765
139,0,637800507,637800507,2139856,2138585,1272,1,1,36,0,3.7146226415,0.1239794574
140,0,637800508,637800508,2140684,2139881,804,1,1,17,10,5.0435323383,0.1683332233
141,0,637800578,637800578,2213476,2212970,507,1,1,0,0,4.4792899408,0.1495010368
142,0,637800639,637800638,2273051,2270973,2079,1,2,49,0,2.7109187109,0.0904797777
143,0,640711049,637800644,2281288,2277766,3523,0,3,0,150,3787.9037751916,0
144,0,637800732,637800731,2355922,2353797,2126,1,2,74,64,7.9219190969,0.2644024241
145,0,637800812,637800811,2430794,2429726,1069,1,2,27,45,7.7193638915,0.25764193
146,0,637800815,637800814,2433562,2432378,1185,1,2,108,223,37.8573839662,1.263530209
147,0,637800877,637800876,2500957,2499675,1283,1,2,29,123,9.5354637568,0.3182561828
148,0,637800888,637800888,2517716,2515451,2266,1,1,22,93,40.506619594,1.3519512483
149,0,637800982,637800982,2613919,2612868,1052,1,1,30,122,7.2937262357,0.2434358233
150,0,637801007,637801002,2636398,2632134,4265,1,6,44,0,9.8454865182,0.3286035202
151,1,637798409,637798409,4534,6411,1876,1,1,62,334,31.3397231097,1.045996388
152,1,637798522,637798522,114274,115286,1011,1,1,25,13,4.1658440276,0.1390394481
153,1,637798533,637798533,126282,127112,829,1,1,108,54,12.7713598075,0.4262576342
154,1,637798543,637798545,138090,142165,4074,1,2,25,59,58.8886162905,1.9654698198
155,1,637798664,637798664,254876,255352,475,1,1,18,18,6.64360587,0.2217373689
156,1,637798684,637798685,273642,275758,2115,1,2,15,0,3.4860651866,0.1163511107
157,1,637798857,637798857,440636,441358,721,1,1,34,59,3.8796680498,0.1294880224
158,1,637798960,637798960,534049,535283,1233,1,1,18,98,6.1052631579,0.2037696118
159,1,637799091,637799091,673675,674214,538,1,1,110,106,336.9740740741,11.246865938
160,1,637799422,637799423,1013868,1016126,2257,1,2,20,139,165.802124834,5.5338211844
161,1,637799426,637799426,1017022,1018274,1251,1,1,22,151,6.6320830008,0.2213527809
162,1,637799484,637799489,1073253,1078492,5238,1,4,0,8,5.9280534351,0.1978550499
163,1,637799634,637799634,1233936,1234211,274,1,1,0,0,10.2101449275,0.3407743802
164,1,637799717,637799717,1308948,1310927,1978,1,1,82,65,15.5439393939,0.5187954086
165,1,637799848,637799849,1468096,1472018,3921,1,2,248,35,11.1065511088,0.370692884
166,1,637799863,637799863,1484524,1485033,508,1,1,25,47,49.9254901961,1.6663160116
167,1,637799880,637799880,1501317,1502365,1047,1,1,26,60,7.938036225,0.2649403503
168,1,637800037,637800038,1668103,1670627,2523,1,2,33,2,6.363960396,0.2124039056
169,1,637800247,637800248,1875250,1876277,1026,1,2,18,34,5.3910505837,0.1799320121
170,1,637800356,637800356,1990369,1991188,818,1,1,25,336,26.0512195122,0.8694869899
171,1,637800392,640711046,2023983,2025366,1382,0,3,20,1,2165.5310693642,0
172,1,637800432,637800432,2057797,2058352,554,1,1,22,219,46.8956834532,1.5651930085
173,1,637800448,637800448,2072056,2072826,769,1,1,37,20,4.4643320363,0.1490018009
174,1,637800477,637800478,2101102,2103073,1970,1,2,16,51,2.9746450304,0.0992819224
175,1,637800495,637800495,2126401,2127981,1579,1,1,0,117,5.0499683744,0.1685480328
176,1,637800556,637800556,2191993,2192936,942,1,1,32,3,2.6366525424,0.0880010658
177,1,637800574,637800575,2208017,2209232,1214,1,2,137,82,6.9029605263,0.2303936047
178,1,637800617,637800619,2252055,2254664,2608,1,3,906,160,10.9812260536,0.3665100277
179,1,637800635,637800635,2267915,2268414,498,1,1,20,57,33.396,1.1146268029
180,1,637800637,637800637,2269212,2270956,1743,1,1,82,55,5.6681948424,0.1891819947
181,1,637800687,637800688,2305903,2307440,1536,1,2,58,22,11.544863459,0.385322022
